college,section,seats,instructor
Edgecombe Community College,GIS-215-OL1,23,"Miller, M"
Edgecombe Community College,GIS-235-OL1,23,"Castongia, S"
Edgecombe Community College,GIS-245-OL1,23,"Castongia, S"
Edgecombe Community College,HEA-110-OL1,12,"Gaddy, M"
Edgecombe Community College,HEA-110-OLH,24,"Gaddy, M"
Edgecombe Community College,HEA-130-OL1,19,"Gaddy, M"
Edgecombe Community College,HIS-111-OL1,2,"Fleming, M"
Edgecombe Community College,HIS-111-OL2,12,"Fleming, M"
Edgecombe Community College,HIS-131-OL1,1,"Fleming, M"
Edgecombe Community College,HIT-110-OL1,13,"Keel, C"
Edgecombe Community College,HIT-112-OL1,15,"Foster, J"
Edgecombe Community College,HIT-114-OL1,13,"Keel, C"
Edgecombe Community College,HIT-124-TW3,17,"Keel, C"
Edgecombe Community College,HIT-210-OL1,3,"Foster, J"
Edgecombe Community College,HIT-211-OL1,19,"Gray, C"
Edgecombe Community College,HIT-215-OL1,3,"Gray, C"
Edgecombe Community College,HIT-222-TW1,2,"Everette, N"
Edgecombe Community College,HIT-222-TW2,8,"Everette, N"
Edgecombe Community College,HIT-226-OL1,19,"Gray, C"
Edgecombe Community College,HSE-110-OL1,6,"Pearson, R"
Edgecombe Community College,HSE-125-OL1,14,"Pearson, R"
Edgecombe Community College,HUM-110-OL1,9,"Bateman, E"
Edgecombe Community College,HUM-115-OL1,1,"Mehle, C"
Edgecombe Community College,HUM-115-OL2,2,"Mehle, C"
Edgecombe Community College,HUM-115-OL3,21,"Mehle, C"
Edgecombe Community College,HUM-115-OLH,21,"Coltraine, L"
Edgecombe Community College,HUM-140-OL1,22,"Fleming, M"
Edgecombe Community College,INT-110-OL1,12,"Woherem, N"
Edgecombe Community College,ISC-112-OL1,21,"Parrish, D"
Edgecombe Community College,ISC-132-OL1,23,"Williams, M"
Edgecombe Community College,LOG-110-OL1,16,"Ellis-Kiser, J"
Edgecombe Community College,LOG-125-OL1,23,"Ellis-Kiser, J"
Edgecombe Community College,LOG-210-OL1,18,"Ellis-Kiser, J"
Edgecombe Community College,LOG-230-OL1,22,"Ellis-Kiser, J"
Edgecombe Community College,MAT-003-OL1,3,"Carter, C"
Edgecombe Community College,MAT-003-OL2,3,"Carter, C"
Edgecombe Community College,MAT-003-OL3,1,"Copeland, P"
Edgecombe Community College,MAT-003-OL4,1,"Copeland, P"
Edgecombe Community College,MAT-003-OL5,2,"Copeland, P"
Edgecombe Community College,MAT-003-OL6,8,"Copeland, P"
Edgecombe Community College,MAT-010-OL2,13,"Ruffin, K"
Edgecombe Community College,MAT-021-OL1,13,"Stamilio-Ehret, R"
Edgecombe Community College,MAT-043-OL3,4,"Norville, K"
Edgecombe Community College,MAT-052-OL1,15,"Long, F"
Edgecombe Community College,MAT-071-OL4,8,"Ruffin, K"
Edgecombe Community College,MAT-110-OL1,4,"Long, F"
Edgecombe Community College,MAT-110-OL2,17,"Ruffin, K"
Edgecombe Community College,MAT-121-OL1,18,"Stamilio-Ehret, R"
Edgecombe Community College,MAT-143-OL1,5,"Killoran, T"
Edgecombe Community College,MAT-143-OL2,17,"Killoran, T"
Edgecombe Community College,MAT-143-OL3,2,"Killoran, T"
Edgecombe Community College,MAT-152-OL1,5,"Long, F"
Edgecombe Community College,MAT-152-OL2,17,"Long, F"
Edgecombe Community College,MAT-171-402,0,"Killoran, T"
Edgecombe Community College,MAT-171-OL1,0,"Long, F"
Edgecombe Community College,MAT-171-OL3,4,"Ruffin, K"
Edgecombe Community College,MAT-171-OL4,0,"Ruffin, K"
Edgecombe Community College,MAT-171-OL5,4,"Carter, C"
Edgecombe Community College,MED-118-OL1,19,"Walker, J"
Edgecombe Community College,MED-122-OL1,8,"Everette, N"
Edgecombe Community College,MED-122-OL4,22,"Gray, C"
Edgecombe Community College,MKT-120-OL1,0,"Woherem, N"
Edgecombe Community College,NET-126-OL1,23,"Batts, A"
Edgecombe Community College,NOS-120-OL1,19,"Achilles, A"
Edgecombe Community College,OST-131-OL1,16,"Eatmon, G"
Edgecombe Community College,OST-145-OL1,21,"Eatmon, G"
Edgecombe Community College,OST-181-OL1,11,"Eatmon, G"
Edgecombe Community College,OST-236-OL1,21,"Eatmon, G"
Edgecombe Community College,OST-247-OL1,19,"Gray, C"
Edgecombe Community College,OST-248-OL1,4,"Gray, C"
Edgecombe Community College,OST-284-OL1,18,"Eatmon, G"
Edgecombe Community College,OST-286-OL1,9,"Eatmon, G"
Edgecombe Community College,PED-110-OL1,15,"Gaddy, M"
Edgecombe Community College,PHI-240-OL1,7,"Henderson, J"
Edgecombe Community College,PHI-240-OL2,12,"Henderson, J"
Edgecombe Community College,POL-130-OL1,8,"Morgan, E"
Edgecombe Community College,PSY-150-OL1,4,"Hayes, K"
Edgecombe Community College,PSY-150-OL2,8,"Hayes, K"
Edgecombe Community College,PSY-150-OL3,3,"Hayes, K"
Edgecombe Community College,PSY-150-OL5,15,"Hayes, K"
Edgecombe Community College,PSY-241-OL1,3,"Hayes, K"
Edgecombe Community College,PSY-241-OL2,12,"Otrimski, L"
Edgecombe Community College,PSY-281-OL1,6,"Otrimski, L"
Edgecombe Community College,REL-110-OL1,7,"Riley, T"
Edgecombe Community College,SAB-110-OL1,20,"Pearson, R"
Edgecombe Community College,SAB-130-OL1,20,"Lee, T"
Edgecombe Community College,SAB-210-OL1,17,"Daniels, M"
Edgecombe Community College,SOC-210-OL1,1,"Basile, K"
Edgecombe Community College,SOC-210-OL2,3,"Basile, K"
Edgecombe Community College,SOC-210-OL3,1,"Basile, K"
Edgecombe Community College,SOC-210-OL4,12,"Basile, K"
Edgecombe Community College,SOC-210-OLH,24,"Hutton, S"
Edgecombe Community College,SOC-220-OL1,2,"Basile, K"
Edgecombe Community College,SOC-225-OL1,3,"Hutton, S"
Edgecombe Community College,SPA-111-OL1,15,"Giddens, A"
Edgecombe Community College,SUR-210-OL1,20,"Shippen, S"
Edgecombe Community College,SUR-211-OL1,10,"Shippen, S"
Edgecombe Community College,SWK-110-OL1,14,"Pearson, R"
Edgecombe Community College,UAS-110-OL2,24,"Parrish, T"
Edgecombe Community College,UAS-111-TW2,23,"Parrish, T"
Edgecombe Community College,UAS-115-OL2,24,"Parrish, T"
Edgecombe Community College,WBL-115-OL1,22,"Williams, M"
Halifax Community College,ACA-122-31D1,3,"Fournier, S"
Halifax Community College,ACA-122-32D6,0,"Fournier, S"
Halifax Community College,ACC-120-3D1,10,"Hamilton, B"
Halifax Community College,ACC-121-3D1,17,"Forester, D"
Halifax Community College,ART-111-31D1,4,"Snyder, S"
Halifax Community College,ART-111-32D2,0,"Snyder, S"
Halifax Community College,ART-111-3D3,1,"Snyder, S"
Halifax Community College,AUT-212-3D1,9,"Renn, M"
Halifax Community College,BIO-111-3D1,0,"Galvin, J"
Halifax Community College,BIO-111-3D2,1,"Galvin, J"
Halifax Community College,BPR-111-3D1,5,"Lynch, J"
Halifax Community College,BUS-110-31D3,6,"Eze, J"
Halifax Community College,BUS-110-32D4,17,"Eze, J"
Halifax Community College,BUS-115-3D1,20,"Eze, J"
Halifax Community College,BUS-147-3D1,26,"Eze, J"
Halifax Community College,BUS-260-3D1,24,"Blue, S"
Halifax Community College,CHM-131-3D1,7,"Carlisle, A"
Halifax Community College,CHM-131A-3D1,6,"Carlisle, A"
Halifax Community College,CHM-151-3D1,2,"Kilpatrick, K"
Halifax Community College,CIS-110-3D3,4,"Lashley, T"
Halifax Community College,CIS-110-3D4,5,"Lashley, T"
Halifax Community College,CJC-112-31D1,15,"Bartels, E"
Halifax Community College,CJC-132-31D1,14,"Avens, J"
Halifax Community College,CJC-141-32D1,16,"Bartels, E"
Halifax Community College,CJC-221-32D1,15,"Avens, J"
Halifax Community College,COM-231-3D3,5,"Stephens, R"
Halifax Community College,COM-231-3D4,2,"Lamont, C"
Halifax Community College,COM-231-3D5,2,"Lamont, C"
Halifax Community College,CSC-139-3D1,6,"Fields, J"
Halifax Community College,CTI-120-3D1,4,"Obi, E"
Halifax Community College,CTS-115-3D1,2,"Lashley, T"
Halifax Community College,CTS-285-3D1,6,"Dickens, D"
Halifax Community College,DBA-110-3D1,6,"Dickens, D"
Halifax Community College,ECO-251-31D1,21,"Balogun, L"
Halifax Community College,ECO-252-32D1,25,"Eze, J"
Halifax Community College,EDU-119-3D1,10,"Sinclair, T"
Halifax Community College,EDU-144-3D1,10,"Sinclair, T"
Halifax Community College,EDU-153-3D1,10,"Sinclair, T"
Halifax Community College,EDU-214-3D1,18,"Sinclair, T"
Halifax Community College,EDU-221-3D1,18,"Sinclair, T"
Halifax Community College,EDU-234-3D1,15,"Sinclair, T"
Halifax Community College,EDU-261-3D1,16,"Sinclair, T"
Halifax Community College,EDU-280-3D1,17,"Sinclair, T"
Halifax Community College,ENG-111-3D4,0,"Davis, T"
Halifax Community College,ENG-112-3D3,4,"McCachren, J"
Halifax Community College,ENG-231-3D1,3,"Bozeman, P"
Halifax Community College,ENG-242-3D1,0,"Davis, T"
Halifax Community College,HIS-112-32D1,0,"Plonski, D"
Halifax Community College,HIS-112-32D2,16,"Plonski, D"
Halifax Community College,HIS-131-3D3,6,"Plonski, D"
Halifax Community College,HIS-132-3D2,2,"Plonski, D"
Halifax Community College,HSC-110-3D1,8,"Aycock, S"
Halifax Community College,HSE-110-3D1,22,"Griggs, C"
Halifax Community College,HSE-112-3D1,20,"Hicks, A"
Halifax Community College,HSE-125-3D1,23,"Griggs, C"
Halifax Community College,HSE-210-3D1,18,"Plum, B"
Halifax Community College,HSE-220-32D1,22,"Artis, D"
Halifax Community College,HUM-115-3D1,4,"Davis, T"
Halifax Community College,HUM-115-3D2,12,"Davis, T"
Halifax Community College,HUM-120-3D2,4,"Harding, W"
Halifax Community College,ISC-112-3D1,5,"Lynch, J"
Halifax Community College,MAT-143-3D3,2,"Swink, N"
Halifax Community College,MAT-143-3D4,11,"Swink, N"
Halifax Community College,MAT-171-3D3,2,"Swink, N"
Halifax Community College,MED-121-31D1,15,"Bain, J"
Halifax Community College,MED-130-32D1,5,"Payne-Puckett, S"
Halifax Community College,MED-232-32D1,13,"Mayo, M"
Halifax Community College,MUS-110-31D1,6,"Blackwood, H"
Halifax Community College,MUS-110-32D2,0,"Blackwood, H"
Halifax Community College,MUS-110-3D3,2,"Blackwood, H"
Halifax Community College,MUS-112-32D1,0,"Collier, B"
Halifax Community College,MUS-112-3D2,17,"Collier, B"
Halifax Community College,NOS-130-3D1,2,"Obi, E"
Halifax Community College,NUR-117-3D1,3,"Harris, S"
Halifax Community College,NUR-117-3D2,9,"Alfonso, T"
Halifax Community College,OST-131-3D1,6,"Simmons, M"
Halifax Community College,OST-136-3D1,12,"Edwards, E"
Halifax Community College,OST-149-32D1,13,"Payne-Puckett, S"
Halifax Community College,OST-164-3D1,15,"Anderson-Faison, M"
Halifax Community College,OST-181-3D1,13,"Payne-Puckett, S"
Halifax Community College,OST-184-32D1,9,"Payne-Puckett, S"
Halifax Community College,OST-284-31D1,16,"Mayo, M"
Halifax Community College,OST-286-31D1,15,"Payne-Puckett, S"
Halifax Community College,PHY-110-3D2,4,"Anderton, A"
Halifax Community College,PHY-110A-3D2,11,"Anderton, A"
Halifax Community College,POL-120-3D1,18,"McMasters, C"
Halifax Community College,PSY-118-3D1,15,"Wilson, R"
Halifax Community College,PSY-150-3D2,3,"Wilson, R"
Halifax Community College,PSY-150-3D3,2,"Wilson, R"
