college,section,credits,instructor,meeting_info,location
Blue Ridge Community College,ART-275-301 ART-275 Introduction to Graphic Design,3,"Johnson, L"," M 3:30 PM - 6:20 PM TBD 1/6/2021 - 5/5/2021  Henderson County, Henderson Bldg 127TBD Lab/Shop Hours  - TBD 1/6/2021 - 5/5/2021  Henderson County, Internet-Based Course 999TBD Lab/Shop Hours  Meeting Times TBD ","[' Henderson County, Henderson Bldg 127TBD Lab/Shop Hours ', ' Henderson County, Internet-Based Course 999TBD Lab/Shop Hours ', '']"
Blue Ridge Community College,ASL-111-211 ASL-111 Elementary ASL I,3,"Hendrix, K"," T 6:00 PM - 7:15 PM TBD 1/6/2021 - 5/5/2021  Internet-Based Course, Synchronous Distance Learning 999TBD Online Class  - TBD 1/6/2021 - 5/5/2021  Internet-Based Course, Internet-Based Course 999TBD Online Class  Meeting Times TBD ","[' Internet-Based Course, Synchronous Distance Learning 999TBD Online Class ', ' Internet-Based Course, Internet-Based Course 999TBD Online Class ', '']"
Blue Ridge Community College,ASL-111-301 ASL-111 Elementary ASL I,3,"Castillo, R"," M 10:00 AM - 11:15 AM TBD 1/6/2021 - 5/5/2021  Henderson County, Technology Education Dev Ctr 223TBD Classroom Hours  - TBD 1/6/2021 - 5/5/2021  Henderson County, Internet-Based Course 999TBD Classroom Hours  Meeting Times TBD ","[' Henderson County, Technology Education Dev Ctr 223TBD Classroom Hours ', ' Henderson County, Internet-Based Course 999TBD Classroom Hours ', '']"
Blue Ridge Community College,ASL-111-421B ASL-111 Elementary ASL I,3,"Castillo, R"," M/W 2:00 PM - 3:35 PM TBD 1/6/2021 - 3/3/2021  Transylvania County, TCC Straus Bldg 112TBD Classroom Hours  - TBD 1/6/2021 - 3/3/2021  Transylvania County, Internet-Based Course 999TBD Classroom Hours  Meeting Times TBD ","[' Transylvania County, TCC Straus Bldg 112TBD Classroom Hours ', ' Transylvania County, Internet-Based Course 999TBD Classroom Hours ', '']"
Blue Ridge Community College,ASL-112-211 ASL-112 Elementary ASL II,3,"Castillo, R"," M 6:00 PM - 7:15 PM TBD 1/6/2021 - 5/5/2021  Internet-Based Course, Synchronous Distance Learning 999TBD Online Class  - TBD 1/6/2021 - 5/5/2021  Internet-Based Course, Internet-Based Course 999TBD Online Class  Meeting Times TBD ","[' Internet-Based Course, Synchronous Distance Learning 999TBD Online Class ', ' Internet-Based Course, Internet-Based Course 999TBD Online Class ', '']"
Blue Ridge Community College,ASL-112-301 ASL-112 Elementary ASL II,3,"Hendrix, K"," T 10:00 AM - 11:15 AM TBD 1/6/2021 - 5/5/2021  Henderson County, Technology Education Dev Ctr 223TBD Classroom Hours  - TBD 1/6/2021 - 5/5/2021  Henderson County, Internet-Based Course 999TBD Classroom Hours  Meeting Times TBD ","[' Henderson County, Technology Education Dev Ctr 223TBD Classroom Hours ', ' Henderson County, Internet-Based Course 999TBD Classroom Hours ', '']"
Blue Ridge Community College,ASL-112-521B ASL-112 Elementary ASL II,3,"Castillo, R"," M/W 2:00 PM - 3:35 PM TBD 3/5/2021 - 5/5/2021  Transylvania County, TCC Straus Bldg 112TBD Classroom Hours  - TBD 3/5/2021 - 5/5/2021  Transylvania County, Internet-Based Course 999TBD Classroom Hours  Meeting Times TBD ","[' Transylvania County, TCC Straus Bldg 112TBD Classroom Hours ', ' Transylvania County, Internet-Based Course 999TBD Classroom Hours ', '']"
Blue Ridge Community College,ASL-112-HSE ASL-112 Elementary ASL II,3,"Kiser, K"," M 8:00 AM - 9:25 AM TBD 1/7/2021 - 5/5/2021  High School, East Henderson High School 001TBD Classroom Hours  - TBD 1/7/2021 - 5/5/2021  High School, Internet-Based Course 999TBD Classroom Hours  Meeting Times TBD ","[' High School, East Henderson High School 001TBD Classroom Hours ', ' High School, Internet-Based Course 999TBD Classroom Hours ', '']"
Blue Ridge Community College,ASL-112-HSH ASL-112 Elementary ASL II,3,"Kiser, K"," M/W 2:10 PM - 3:00 PM TBD 1/7/2021 - 5/5/2021  High School, Hendersonville High School 001TBD Classroom Hours  - TBD 1/7/2021 - 5/5/2021  High School, Internet-Based Course 999TBD Classroom Hours  Meeting Times TBD ","[' High School, Hendersonville High School 001TBD Classroom Hours ', ' High School, Internet-Based Course 999TBD Classroom Hours ', '']"
Blue Ridge Community College,ASL-112-HSN ASL-112 Elementary ASL II,3,"Kiser, K"," M 1:30 PM - 3:00 PM TBD 1/7/2021 - 5/5/2021  High School, North Henderson High School 999TBD Classroom Hours  - TBD 1/7/2021 - 5/5/2021  High School, Internet-Based Course 999TBD Classroom Hours  Meeting Times TBD ","[' High School, North Henderson High School 999TBD Classroom Hours ', ' High School, Internet-Based Course 999TBD Classroom Hours ', '']"
Blue Ridge Community College,ASL-112-HSW ASL-112 Elementary ASL II,3,"Kiser, K"," T 8:00 AM - 9:25 AM TBD 1/7/2021 - 5/5/2021  High School, West Hend High School 001TBD Classroom Hours  - TBD 1/7/2021 - 5/5/2021  High School, Internet-Based Course 999TBD Classroom Hours  Meeting Times TBD ","[' High School, West Hend High School 001TBD Classroom Hours ', ' High School, Internet-Based Course 999TBD Classroom Hours ', '']"
Blue Ridge Community College,ASL-181-211 ASL-181 ASL Lab 1,1,"Hendrix, K"," Th 6:00 PM - 7:15 PM TBD 1/6/2021 - 5/5/2021  Internet-Based Course, Synchronous Distance Learning 999TBD Online Lab  - TBD 1/6/2021 - 5/5/2021  Internet-Based Course, Internet-Based Course 999TBD Online Lab  Meeting Times TBD ","[' Internet-Based Course, Synchronous Distance Learning 999TBD Online Lab ', ' Internet-Based Course, Internet-Based Course 999TBD Online Lab ', '']"
Blue Ridge Community College,ASL-181-301 ASL-181 ASL Lab 1,1,"Castillo, R"," W 10:00 AM - 11:15 AM TBD 1/6/2021 - 5/5/2021  Henderson County, Technology Education Dev Ctr 223TBD Lab/Shop Hours  - TBD 1/6/2021 - 5/5/2021  Henderson County, Internet-Based Course 999TBD Lab/Shop Hours  Meeting Times TBD ","[' Henderson County, Technology Education Dev Ctr 223TBD Lab/Shop Hours ', ' Henderson County, Internet-Based Course 999TBD Lab/Shop Hours ', '']"
