Column1,college,section,seats,instructor
395,Halifax Community College,COM-231-3D3,5,"Stephens, R"
396,Halifax Community College,COM-231-3D4,2,"Lamont, C"
397,Halifax Community College,COM-231-3D5,2,"Lamont, C"
398,Halifax Community College,CSC-139-3D1,6,"Fields, J"
399,Halifax Community College,CTI-120-3D1,4,"Obi, E"
400,Halifax Community College,CTS-115-3D1,2,"Lashley, T"
401,Halifax Community College,CTS-285-3D1,6,"Dickens, D"
402,Halifax Community College,DBA-110-3D1,6,"Dickens, D"
403,Halifax Community College,ECO-251-31D1,21,"Balogun, L"
404,Halifax Community College,ECO-252-32D1,25,"Eze, J"
405,Halifax Community College,EDU-119-3D1,10,"Sinclair, T"
406,Halifax Community College,EDU-144-3D1,10,"Sinclair, T"
407,Halifax Community College,EDU-153-3D1,10,"Sinclair, T"
408,Halifax Community College,EDU-214-3D1,18,"Sinclair, T"
409,Halifax Community College,EDU-221-3D1,18,"Sinclair, T"
410,Halifax Community College,EDU-234-3D1,15,"Sinclair, T"
411,Halifax Community College,EDU-261-3D1,16,"Sinclair, T"
412,Halifax Community College,EDU-280-3D1,17,"Sinclair, T"
413,Halifax Community College,ENG-111-3D4,0,"Davis, T"
414,Halifax Community College,ENG-112-3D3,4,"McCachren, J"
415,Halifax Community College,ENG-231-3D1,3,"Bozeman, P"
416,Halifax Community College,ENG-242-3D1,0,"Davis, T"
417,Halifax Community College,HIS-112-32D1,0,"Plonski, D"
418,Halifax Community College,HIS-112-32D2,16,"Plonski, D"
419,Halifax Community College,HIS-131-3D3,6,"Plonski, D"
420,Halifax Community College,HIS-132-3D2,2,"Plonski, D"
421,Halifax Community College,HSC-110-3D1,8,"Aycock, S"
422,Halifax Community College,HSE-110-3D1,22,"Griggs, C"
423,Halifax Community College,HSE-112-3D1,20,"Hicks, A"
424,Halifax Community College,HSE-125-3D1,23,"Griggs, C"
425,Halifax Community College,HSE-210-3D1,18,"Plum, B"
426,Halifax Community College,HSE-220-32D1,22,"Artis, D"
427,Halifax Community College,HUM-115-3D1,4,"Davis, T"
428,Halifax Community College,HUM-115-3D2,12,"Davis, T"
